asset_id,asset,asset_kind,explicit_indoor,area,nearest_option,nearest_option_distance_m,reason_bucket,same_number_pole_exists,same_number_pole,same_number_option_distance_m
AUTO-83F851B441CF11A20B0A4E30,C-039,Kamera CCTV,False,FT LOMANIS,T-003,6.628,Opsi >5–10 m,False,,
AUTO-848CFA780700226D89998C6D,JB-Rack Server,Junction box,False,FT PENGAPON - SEMARANG,T-TOWER,17.843,Opsi >10–25 m,False,,
AUTO-856F6D0D911EC8E9518171DD,C-11,Kamera CCTV,True,FT Tegal Baru,,,Tidak ada opsi ≤25 m,True,T-11,
AUTO-85F904E0ED3EB406F277712D,C-003-Fix,Kamera CCTV,False,FT REWULU,,,Tidak ada opsi ≤25 m,True,T-003,
AUTO-864DBC1F0C9D43D4948B2E45,C-029-,Kamera CCTV,False,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-8656397F326565149B8FEE3D,C-016-exp,Kamera CCTV,False,FT LOMANIS,T-009,8.421,Opsi >5–10 m,True,T-016,
AUTO-87A6ABA3C9050A4E31C14663,C-006-exp,Kamera CCTV,False,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,True,T-006,
AUTO-883A302204A4B1301F54768F,C-047,Kamera CCTV,True,ITC LPG CILACAP,T-001,18.286,Opsi >10–25 m,False,,
AUTO-89B1ECC088B0973A694CE9FD,C-037,Kamera CCTV,False,FT CILACAP,T-009,10.089,Opsi >10–25 m,False,,
AUTO-8AB63998BC5AE329517DD2D7,JB-017-EXP,Junction box,False,FT REWULU,,,Tidak ada opsi ≤25 m,True,T-017,
AUTO-8B65A1F02681CA8AA46132B4,C-024,Kamera CCTV,False,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,False,,
AUTO-8B6D1437D897012E55EF1E1F,C.001,Kamera CCTV,False,FT CILACAP,,,Tidak ada opsi ≤25 m,True,T-001,
AUTO-8BF75A3FE1EE16AD078DCBC1,C-046-Dome,Kamera CCTV,True,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-8C308BAB4BDC0DCFF13879A8,C.011,Kamera CCTV,False,FT CILACAP,T-013,7.392,Opsi >5–10 m,True,T-011,
AUTO-8C4DAF0E59F2DB2D24539762,Cam-06,Kamera CCTV,True,Booster Kutawinangun,T-04,7.335,Opsi >5–10 m,True,T-06,
AUTO-8C821BEDDF825C5679670E97,C-004-Fix,Kamera CCTV,False,FT REWULU,,,Tidak ada opsi ≤25 m,True,T-004,
AUTO-8CCEA04CD2E11A38977A24B0,C-025,Kamera CCTV,False,ITC LPG CILACAP,T-005,23.842,Opsi >10–25 m,False,,
AUTO-8D75A1A4964C116EA6849185,C-037,Kamera CCTV,False,FT REWULU,T-005,17.808,Opsi >10–25 m,False,,
AUTO-8D9D38B3BF034A6B0EED7E62,C-008-exp,Kamera CCTV,False,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,True,T-008,
AUTO-8DE302B1598E29F9A28F0871,BC-009,Kamera CCTV,False,DPPU YIA,,,Tidak ada opsi ≤25 m,False,,
AUTO-8E8C5E144E64BCF4953D81B8,C-048,Kamera CCTV,False,FT PENGAPON - SEMARANG,,,Tidak ada opsi ≤25 m,False,,
AUTO-8EBD72B50B676F3499CD33CE,C-041,Kamera CCTV,False,FT CILACAP,T-010,5.915,Opsi >5–10 m,False,,
AUTO-90E0DE4B747B67D9E99ECE95,C-002-Fix,Kamera CCTV,False,FT MAOS,T-001,7.93,Opsi >5–10 m,True,T-002,
AUTO-912D57A6CE04B6C389472308,C-041,Kamera CCTV,False,FT LOMANIS,T-001,10.126,Opsi >10–25 m,False,,
AUTO-91AB02DC7996156DC314E72D,C-036,Kamera CCTV,False,FT PENGAPON - SEMARANG,T-010,11.567,Opsi >10–25 m,False,,
AUTO-91FE3193B461162D1E7FD6DC,JB-CCTV-04-WP,Junction box,False,DPPU YIA,,,Tidak ada opsi ≤25 m,False,,
